coupon_bucket,implied_mbs_coupon,month,n_atrisk,n_prepay,smm,cpr
3.5,3.0,32023,1223661,13209,0.010794656363159405,0.12211537137221895
3.5,3.0,32024,1162495,15746,0.013545004494642987,0.1509616298396641
3.5,3.0,32025,1101953,17446,0.015831891196811478,0.17428256379507234
3.5,3.0,42020,352897,0,0.0,0.0
3.5,3.0,42021,1080124,5148,0.004766119445545141,0.05571774948284092
3.5,3.0,42022,1306455,9662,0.0073955857645307335,0.08522470612614907
3.5,3.0,42023,1218040,13480,0.01106696003415323,0.1250109029878218
3.5,3.0,42024,1157790,15903,0.013735651543025936,0.15292860913678563
3.5,3.0,42025,1097110,17559,0.01600477618470345,0.17602148995471278
3.5,3.0,52020,504655,0,0.0,0.0
3.5,3.0,52021,1137947,5640,0.004956294098055533,0.05788073779255931
3.5,3.0,52022,1294267,9976,0.007707837718183342,0.0886719607636749
3.5,3.0,52023,1212899,13704,0.011298550002926872,0.1274666150894821
3.5,3.0,52024,1152389,16048,0.013925853162430394,0.15488682940383847
3.5,3.0,52025,1091768,17658,0.016173765855016817,0.17771799096671737
3.5,3.0,62020,643168,0,0.0,0.0
3.5,3.0,62021,1190377,6061,0.005091664237464265,0.059417628256840715
3.5,3.0,62022,1283317,10370,0.008080622324803614,0.09277189818301113
3.5,3.0,62023,1206373,13908,0.011528772610129703,0.12990156466989333
3.5,3.0,62024,1146450,16136,0.014074752496838065,0.15641692528114526
3.5,3.0,62025,1086268,17756,0.016345874130509228,0.17944250833008812
3.5,3.0,72020,754624,584,0.0007738953439063692,0.009247317594608395
3.5,3.0,72021,1223867,6492,0.0053044979560687554,0.06182933516697631
3.5,3.0,72022,1272324,10685,0.008398018114882687,0.09624932786305362
3.5,3.0,72023,1199765,14023,0.011688122257275384,0.13158327688522764
3.5,3.0,72024,1140772,16218,0.014216688347890727,0.15787309964157614
3.5,3.0,72025,1080530,17850,0.016519670902242416,0.18118057951229827
3.5,3.0,82020,853041,1073,0.0012578527878495875,0.014990245274233205
3.5,3.0,82021,1266233,6813,0.005380526332831319,0.06268946912929829
3.5,3.0,82022,1263380,10985,0.008694929474900663,0.09949126222635862
3.5,3.0,82023,1193919,14228,0.011917056349718867,0.1339941405543752
3.5,3.0,82024,1134952,16317,0.014376819460206247,0.1595131797955246
3.5,3.0,82025,1074620,17909,0.01666542591799892,0.18263561384442228
3.5,3.0,92020,903641,1627,0.0018004937801626973,0.021393246932820853
3.5,3.0,92021,1283675,7104,0.005534111048357255,0.06442481871041728
3.5,3.0,92022,1254359,11235,0.008956765965724325,0.10234136949158157
3.5,3.0,92023,1187663,14436,0.012154963150321262,0.13649299228921907
3.5,3.0,92024,1129429,16450,0.014564881900500164,0.1614355968056046
3.5,3.0,92025,1069323,17992,0.016825599000489095,0.18423184631698253
3.5,3.0,102020,951923,2289,0.0024046062549176773,0.028476696736000062
3.5,3.0,102021,1297908,7525,0.005797791522973893,0.06739727022864761
3.5,3.0,102022,1246897,11509,0.00923011283209439,0.10530794385188769
3.5,3.0,102023,1182679,14672,0.012405733085647078,0.1391197951686468
3.5,3.0,102024,1124464,16587,0.014751028045362057,0.16333445496701804
3.5,3.0,112020,1000736,2814,0.0028119304192114605,0.03322616678109136
3.5,3.0,112021,1323261,7841,0.005925512805107987,0.06883394888806893
3.5,3.0,112022,1240587,11768,0.009485832110122064,0.10807507080669898
3.5,3.0,112023,1177906,14862,0.012617305625406442,0.14133030808306635
3.5,3.0,112024,1119048,16707,0.014929654492032512,0.16515289877931827
3.5,3.0,122020,1029329,3283,0.0031894564322971566,0.03760917042705192
3.5,3.0,122021,1369821,8188,0.005977423327573457,0.06941728669189873
3.5,3.0,122022,1235682,12027,0.009733086667929127,0.11074313943603287
3.5,3.0,122023,1173816,15048,0.012819726430718272,0.1434403320632287
3.5,3.0,122024,1114321,16800,0.015076445656143966,0.16664454196170775
4.0,3.5,12020,116990,0,0.0,0.0
4.0,3.5,12021,523914,7402,0.01412827296082945,0.15696628311822947
4.0,3.5,12022,472587,10850,0.022958735640210164,0.24324574213511496
4.0,3.5,12023,417136,11559,0.027710387020060602,0.2862473162380502
